Name,Designation,Region/County,Borough,Beds (pre corona),Address,Latitude,Longitude,NTAName,https://www.geosheets.com/map/s:yJk0nKbm/hospitals-
BronxCare Hospital Center,AIDS Center; Level III Perinatal Center; Primary Stroke Center,Bronx (New York Metro - New York City),Bronx,859,"1650 Grand Concourse, The Bronx, NY 10457, United States",40.8434675,-73.9110798,Mount Hope,
Jacobi Medical Center,AIDS Center; Burn Center; Level I Adult Trauma Center; Level II Pediatric Trauma Center; Level III Perinatal Center; Primary Stroke Center; SAFE Designated Hospital,Bronx (New York Metro - New York City),Bronx,722,"1400 Pelham Pkwy S, The Bronx, NY 10461, United States",40.8556769,-73.8462363,Pelham Parkway,
Lincoln Medical & Mental Health Center,AIDS Center; Level I Adult Trauma Center; Level III Perinatal Center; Primary Stroke Center; SAFE Designated Hospital,Bronx (New York Metro - New York City),Bronx,887,"234 E 149th St, The Bronx, NY 10451",40.8160855,-73.9247762,Melrose South-Mott Haven North,
Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Primary Stroke Center; Regional Perinatal Center,Bronx (New York Metro - New York City),Bronx,431,"1825 Eastchester Rd, The Bronx, NY 10461, United States",40.8491013,-73.8461857,park-cemetery-etc-Bronx,
Montefiore Medical Center - Henry & Lucy Moses Div,AIDS Center; Comprehensive Stroke Center,Bronx (New York Metro - New York City),Bronx,726,"111 E 210th St, The Bronx, NY 10467, United States",40.8807854,-73.8794877,Norwood,
Montefiore Medical Center - Montefiore Westchester Square,Not overnight,Bronx (New York Metro - New York City),Bronx,360,"2300 Westchester Ave, The Bronx, NY 10462, United States",40.8349479,-73.8480631,Westchester-Unionport,
Montefiore Medical Center-Wakefield Hospital,Level III Perinatal Center,Bronx (New York Metro - New York City),Bronx,0,"600 E 233rd St, The Bronx, NY 10466, United States",40.8937532,-73.8611242,Williamsbridge-Olinville,
North Central Bronx Hospital,AIDS Center; Level II Perinatal Center; SAFE Designated Hospital,Bronx (New York Metro - New York City),Bronx,290,"3424 Kossuth Ave, The Bronx, NY 10467, United States",40.8804898,-73.8811238,Norwood,
St. Barnabas Hospital Health System,AIDS Center; Level II Adult Trauma Center; Level III Perinatal Center; Primary Stroke Center,Bronx (New York Metro - New York City),Bronx,422,"4422 3rd Ave, The Bronx, NY 10457, United States",40.853914,-73.8903914,East Tremont,
Brookdale Hospital Medical Center,AIDS Center; Level II Adult Trauma Center; Level III Perinatal Center; Primary Stroke Center,Kings (New York Metro - New York City),Brooklyn,530,"1 Brookdale Plaza, Brooklyn, NY 11212, United States",40.6549132,-73.9126971,Rugby-Remsen Village,
